Status;Device ID;Location;Machine;Product;Category;Transaction;TransDate;Type;RCoil;RPrice;RQty;MCoil;MPrice;MQty;LineTotal;TransTotal;Prcd Date;;Count of Transaction;Column Labels;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Oreo Mini;Food;14540735288;07/01/2022;Cash;123;1.5;1;123;1.5;1;1.5;1.5;07/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Oreo Mini;Food;14540737437;07/01/2022;Cash;123;1.5;1;123;1.5;1;1.5;1.5;07/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Takis - Hot Chilli Pepper & Lime;Food;14541059295;08/01/2022;Cash;121;1.5;1;121;1.5;1;1.5;1.5;08/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Takis - Hot Chilli Pepper & Lime;Food;14541060237;08/01/2022;Cash;121;1.5;1;121;1.5;1;1.5;1.5;08/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Chum Fruit Bites - Mango/Strawberry;Food;14541788105;08/01/2022;Credit;124;1.25;1;124;1.25;1;1.25;1.25;08/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Snapple Diet Tea - Raspberry;Non Carbonated;14542451941;08/01/2022;Cash;145;2.5;1;145;2.5;1;2.5;2.5;08/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Zevia Zero Calorie Energy - Mango Ginger;Non Carbonated;14542482305;08/01/2022;Cash;148;2.5;1;148;2.5;1;2.5;2.5;08/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Poland Springs Water;Water;14542483837;08/01/2022;Cash;144;1.5;1;144;1.5;1;1.5;1.5;08/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;V8 Vegetable Juice - Original;Non Carbonated;14542819137;08/01/2022;Cash;142;1.5;1;142;1.5;1;1.5;1.5;08/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;BodyArmor LYTE  - Peach Mango;Water;14542825549;08/01/2022;Cash;148;2;1;148;2;1;2;2;08/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;SunChips Multigrain - Harvest Cheddar;Food;14543096083;08/01/2022;Cash;125;1.5;1;125;1.5;1;1.5;1.5;08/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;SunChips Multigrain - Harvest Cheddar;Food;14543096516;08/01/2022;Cash;125;1.5;1;125;1.5;1;1.5;1.5;08/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Good Health Veggie Stix - Sea Salt;Food;14543336255;08/01/2022;Credit;110;1.5;1;110;1.5;1;1.5;1.5;08/01/2022;;;;;;;;
